video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,trajectory_length_ratio
0,CoTracker3,none,99.32584269662922,31.46067415730337,18.741633199464523,62.92134831460674,45.88815789473684,89.21348314606742,79.91886409736308,99.7752808988764,98.87892376681614,100.0,99.32584269662922,68.55068433100196,76.67415730337079,8.659160614013672,0.888888888888889
0,CoTracker3,medium,90.3370786516854,7.191011235955057,3.292682926829269,35.50561797752809,20.65527065527065,80.0,61.95028680688337,98.65168539325845,87.8048780487805,100.0,90.3370786516854,52.80803941788983,64.26966292134831,10.196022033691406,0.6555555555555556
0,CoTracker3,strong,21.573033707865168,2.4719101123595504,0.0,7.191011235955057,0.5576208178438662,28.314606741573037,3.2442748091603053,80.0,15.598290598290598,100.0,21.573033707865168,8.194643986631988,43.59550561797752,8.970277786254883,0.1955555555555555
1,CoTracker3,none,87.71031455742502,38.44827586206897,27.250000000000004,57.24137931034483,44.39716312056737,76.20689655172413,55.41984732824427,90.17241379310344,66.88524590163935,94.82758620689656,71.09243697478992,53.00893866504819,71.37931034482759,8.108656883239746,0.7675634470893092
1,CoTracker3,medium,90.05120702267739,20.689655172413797,12.76595744680851,51.03448275862069,38.7434554973822,65.17241379310344,53.62318840579711,83.62068965517241,68.5214626391097,92.41379310344828,76.96160267111853,50.12313333204321,62.58620689655172,14.407666206359863,0.8360107975307611
1,CoTracker3,strong,89.53913679590345,8.448275862068966,4.613935969868174,23.96551724137931,13.948717948717947,53.62068965517241,36.82266009852217,70.34482758620689,53.03030303030303,86.20689655172413,68.84498480243161,35.45212036996858,48.51724137931034,14.969743728637695,1.0374622272262926
2,CoTracker3,none,93.67469879518072,31.382978723404253,19.13477537437604,59.30851063829788,42.34592445328032,78.98936170212765,64.97695852534562,85.37234042553192,74.20924574209245,90.42553191489364,78.1094527363184,55.75527136628258,69.09574468085106,66.44839477539062,1.0008519162849083
2,CoTracker3,medium,67.31927710843374,2.393617021276596,1.3207547169811322,7.978723404255319,2.676864244741874,17.819148936170212,5.50098231827112,39.62765957446808,14.989293361884368,66.75531914893617,30.33980582524272,10.965540093424242,26.914893617021274,20.79010963439941,0.4653602362684204
2,CoTracker3,strong,86.8975903614458,0.0,0.0,0.0,0.0,0.2659574468085106,0.1312335958005249,1.0638297872340423,0.5270092226613966,5.851063829787234,2.968960863697706,0.7254407364319254,1.4361702127659577,6.675739288330078,1.4230171171255572
3,CoTracker3,none,85.6996935648621,44.23652694610779,29.61971076593465,84.88023952095809,70.54263565891473,91.76646706586826,79.25925925925927,93.7125748502994,79.25925925925927,94.98502994011976,79.25925925925927,67.58802484052543,81.91616766467065,1.882562279701233,0.7797417416577009
